datum shift,start date,end date,duration
0.01,1/1/2023 0:00,1/31/2023 9:12,30 days 09:12:00
0.01,1/31/2023 13:00,1/31/2023 16:00,0 days 03:00:00
0.01,2/7/2023 18:36,4/9/2023 5:24,60 days 10:48:00
0.01,4/9/2023 14:24,4/11/2023 12:18,1 days 21:54:00
0.01,4/11/2023 12:42,4/26/2023 19:30,15 days 06:48:00
0.01,4/26/2023 21:30,4/27/2023 14:36,0 days 17:06:00
0.002,4/27/2023 16:12,4/27/2023 20:42,0 days 04:30:00
0.002,4/28/2023 14:18,4/28/2023 16:42,0 days 02:24:00
-0.008,4/28/2023 16:42,4/29/2023 5:00,0 days 12:18:00
-0.008,4/30/2023 20:12,4/30/2023 21:24,0 days 01:12:00
0.021,5/8/2023 22:54,5/30/2023 19:30,21 days 20:36:00
0.001,5/30/2023 20:30,6/28/2023 20:06,28 days 23:36:00
