datum shift,start date,end date,duration
0.01,2023-01-01 00:00:00,2023-01-31 09:12:00,30 days 09:12:00
0.01,2023-01-31 13:00:00,2023-01-31 16:00:00,0 days 03:00:00
0.01,2023-02-07 18:36:00,2023-04-09 05:24:00,60 days 10:48:00
0.01,2023-04-09 14:24:00,2023-04-11 12:18:00,1 days 21:54:00
0.01,2023-04-11 12:42:00,2023-04-26 19:30:00,15 days 06:48:00
0.01,2023-04-26 21:30:00,2023-04-27 14:36:00,0 days 17:06:00
0.002,2023-04-27 16:12:00,2023-04-27 20:42:00,0 days 04:30:00
0.002,2023-04-28 14:18:00,2023-04-28 16:42:00,0 days 02:24:00
-0.008,2023-04-28 16:42:00,2023-04-29 05:00:00,0 days 12:18:00
-0.008,2023-04-30 20:12:00,2023-04-30 21:24:00,0 days 01:12:00
0.021,2023-05-08 22:54:00,2023-05-30 19:30:00,21 days 20:36:00
0.001,2023-05-30 20:30:00,2023-06-28 20:06:00,28 days 23:36:00
