Year,Temporal shifts,Datum shifts,Time-shifted data %,Positive error %,Initial NaN %,Final NaN %,Increased NaN %
1996,"[0, 'N/A']","[0.0, 'N/A']",0.0,0.1366,1.4709,1.5938,0.123
1997,"[0, 'N/A']","[0.0, 'N/A']",0.0,0.1427,0.2934,0.3733,0.0799
1998,"[0, 'N/A']","[0.0, 'N/A']",0.0,0.2968,0.1963,0.3162,0.1199
1999,"[0, 'N/A']","[0.0, 'N/A']",0.0,2.1279,0.5594,2.3413,1.782
2000,"[0, 'N/A']","[0.0, 'N/A']",0.0,0.0353,0.0273,0.0478,0.0205
2001,"[0, 'N/A']","[0.0, 'N/A', 0.002]",0.0,0.1358,0.0434,0.1621,0.1187
2002,"[0, 'N/A']","[0.0, 'N/A', 0.004]",0.0,1.3813,0.8048,2.1861,1.3813
2003,"[0, 'N/A']","[0.0, 'N/A', -0.004]",0.0,1.7923,0.2671,2.0594,1.7922
2004,"[0, 'N/A']","[-0.004, 0.0, 'N/A']",0.0,3.8024,0.066,3.8673,3.8012
2005,"[0, 'N/A']","[0.0, 'N/A']",0.0,10.6029,4.1575,11.016,6.8584
2006,"['N/A', 0]","['N/A', 0.0, -0.003]",0.0,2.3973,0.4658,2.8539,2.3881
2007,"[0, 'N/A']","[0.0, 'N/A', -0.001, 0.001]",0.0,19.087,0.137,19.1826,19.0457
2008,"[0, 'N/A']","[0.0, 'N/A']",0.0,1.9263,0.7798,2.0503,1.2705
2009,"[0, 'N/A']","[0.0, 'N/A']",0.0,43.1455,0.1632,43.2751,43.1119
2010,"[0, 'N/A']","[0.0, 'N/A']",0.0,0.5617,0.492,1.0491,0.5571
2011,"[0, 'N/A']","[0.0, 'N/A', 0.005]",0.0,0.1712,1.1815,1.3231,0.1416
2012,"[0, 'N/A']","[0.0, 'N/A']",0.0,0.921,1.0303,1.579,0.5487
2013,"[0, 'N/A']","[0.0, 'N/A', -0.003]",0.0,0.0685,0.3174,0.3847,0.0674
2014,"[0, 'N/A', -1]","[0.0, 'N/A', 0.003]",91.7328,0.3995,0.2306,0.629,0.3984
2015,"[-1, 'N/A']","[0.003, 'N/A', 0.004, 0.0]",99.3584,0.6416,0.7066,1.3333,0.6267
2016,"[-1, 'N/A']","[0.0, 'N/A']",99.8862,0.1138,1.8044,1.8887,0.0842
2017,"[-1, 'N/A']","[0.0, 'N/A']",2.9121,97.0879,97.0696,97.0947,0.0251
2018,"[-1, 'N/A']","[0.0, 'N/A']",99.9201,0.0799,41.5879,41.6678,0.0799
2019,"[-1, 'N/A']","[0.0, 0.002, 'N/A']",98.7443,1.2557,3.8368,3.9361,0.0993
2020,"[-1, 'N/A']","[0.0, 'N/A', 0.01]",99.9214,0.0786,1.3912,1.4413,0.0501
2021,"[-1, 'N/A']","[0.01, 'N/A']",99.8642,0.1358,2.2226,2.3596,0.137
2022,"[-1, 'N/A']","[0.01, 'N/A', 0.011]",87.3937,12.6063,7.8196,20.411,12.5913
2023,"[-1, 'N/A', -2]","[0.01, 'N/A', 0.002, -0.008, 0.021, 0.001, 0.0]",97.1975,2.8025,2.3904,5.1336,2.7432
